Movie Name,Box Office,Budget,Verdict
Cobra,68.45 Crore,90 Crore,Flop
Thiruchitrambalam,106.05 Crore,40 Crore,Super Hit
Liger ( All Languages),69.74 Crore,110 Crore,Disaster
Viruman,53.65 Crore,30 Crore,Hit
Sita Ramam (Tamil),10.5 Crore,30 Crore,Hit
Sita Ramam (All Languages),93.07 Crore,30 Crore,Super Hit
Gulu Gulu,11.35 Crore,10 Crore,Hit
Legend,16.51 Crore,45 Crore,Flop
Vikrant Rona (Tamil),3.58 Crore,95 Crore,Flop
Vikrant Rona (All Languages),113.9 Crore,95 Crore,Average
Iravin Nizhal,22.93 Crore,15 Crore,Hit
Gargi,8.92 Crore,5 Crore,Average
Yaanai,36.3 Crore,15 Crore,Hit
Rocketery,41.99 Crore,60 Crore,Flop
Vikram,447.65 Crore,150 Crore,All Time Blockbuster
Don,113.56 Crore,50 Crore,Super Hit
Kaathu Vaakula Rendu Kadhal,64.1 Crore,40 Crore,Hit
Beast,237.05 Crore,150 Crore,Super Hit
KGF Chapter 2,1235 Crore,100 Crore,All Time Blockbuster
RRR,1151 Crore,600 Crore,All Time Blockbuster
Etharkkum Thunindhavan,103.42 Crore,75 Crore,Hit
Valimai,200.25 Crore,150 Crore,Super Hit
FIR,12 Crore,20 Crore,Flop
Aaratu,17.8 Crore,18 Crore,Flop
Veerame Vaagai Soodum,9 Crore,20 Crore,Flop
Bangarraju,63.65 Crore,35 Crore,Hit
Pushpa,352 Crore,180 Crore,Super Hit
