name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Rabbit,Leporidae,Herbivore,Crepuscular+,3 years,10 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,,,Found in 38 countries
Raccoon,Procyon lotor,Omnivore,Nocturnal+,3 years,14 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,Found in 64 locations
Raccoon Dog,Nyctereutes procyonoides,Omnivore,Nocturnal+,3 years,15 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides,Found in 5 countries
Racer Snake,Coluber constrictor,Carnivore,Diurnal+,7 years,0.9 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,constrictor,Found in 56 states/provinces
Radiated Tortoise,Astrochelys radiata,Herbivore,Diurnal+,50 years,16 lbs,Critically Endangered,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Astrochelys,radiata,Found in 1 country
Ragamuffin,Felis catus,Carnivore,Crepuscular+,14 years,9.1 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Found in 1 state/province
Ragdoll,Felis catus,Carnivore,Crepuscular+,14 years,9 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,Found in 1 country
Raggle,Canis lupus familiaris,Omnivore,Diurnal+,13 years,16 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 state/province
Rainbow Boa,Epicrates cenchria,Carnivore,Nocturnal+,12 years,5 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Boidae,Epicrates,Epicrates cenchria,Found in 10 countries
Rainbow Grasshopper (Dactylotum bicolor),Dactylotum bicolor,Herbivore,Diurnal+,12 years,,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Dactylotum,bicolor,Found in 23 states/provinces
Rainbow Kribs (Kribensis),Pelvicachromis pulcher,Omnivore,Diurnal+,4 years,0.03 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Pelvicachromis,pulcher,Found in 2 countries
Rainbow Shark,Epalzeorhynchos frenatum,Omnivore,Diurnal+,5 years,0.06 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Epalzeorhynchos,Epalzeorhynchos frenatum,Found in 4 countries
Rat,Rattus,Omnivore,Nocturnal+,1.5 years,0.5 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,,Found in 13 countries
Rat Snakes,Pantherophis,Carnivore,Diurnal+,12 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,,Found in 3 countries
Rat Terrier,Canis lupus familiaris,Omnivore,Diurnal+,15 years,11.3 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 4 states/provinces
Rattlesnake,Crotalini,Carnivore,Nocturnal+,12 years,7 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,,Found in 19 countries
Red Ackie Monitor,Varanus acanthurus,Insectivore,Diurnal+,8 years,0.9 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus acanthurus,Found in 1 country
Red Aphids,Aphididae,Herbivore,Cathemeral+,30 years,1.0E-5 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,Found in 4 countries
Red Deer,Cervus elaphus,Herbivore,Crepuscular+,15 years,240 lbs,Least Concern,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Found in 49 countries
Red Diamondback Rattlesnake,Crotalus ruber,Carnivore,Nocturnal+,10 years,2.4 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,ruber,Found in 2 locations
Red Drum Fish,Sciaenops ocellatus,Carnivore,Crepuscular+,20 years,45 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Acanthuriformes,Sciaenidae,Sciaenops,Sciaenops ocellatus,Found in 17 locations
Red Finch,Haemorhous mexicanus,Omnivore,Diurnal+,2 years,0.027 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,Found in 14 locations
Red Fox,Vulpes vulpes,Omnivore,Crepuscular+,3 years,14 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,Found in 85 locations
Red Kite,Milvus milvus,Scavenger,Diurnal+,10 years,1.3 lbs,Least Concern,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,Found in 21 countries
Red Knee Tarantula,Brachypelma hamorii,Insectivore,Nocturnal+,15 years,0.03 lbs,Near Threatened,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma,hamorii,Found in 2 states/provinces
Red Nose Pit Bull,Canis lupus familiaris,Omnivore,Diurnal+,13 years,27 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 3 countries
