name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Quagga,Equus quagga quagga,Herbivore,Diurnal+,23 years,350 lbs,Extinct,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus quagga,Found in 1 country
Quahog Clam,Mercenaria mercenaria,,Cathemeral,20 years,0.7 lbs,Least Concern,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,Mercenaria mercenaria,Found in 18 states/provinces
Quail,Galliformes,Omnivore,Diurnal+,5 years,0.35 lbs,Least Concern,Animalia,Chordata,Aves,Galliformes,,,,Found in 48 countries
Queen Snake,Regina septemvittata,Carnivore,Diurnal+,5 years,0.13 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Regina,Regina septemvittata,Found in 21 states/provinces
Quetzal,Pharomachrus mocinno,Omnivore,Diurnal+,7 years,0.24 lbs,Near Threatened,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Pharomachrus,mocinno,Found in 7 locations
Quetzalcoatlus northropi,Quetzalcoatlus northropi,Carnivore,Diurnal+,15 years,250 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Pterosauria,Azhdarchidae,Quetzalcoatlus,northropi,Found in 1 state/province
Quokka,Setonix brachyurus,Herbivore,Nocturnal+,8 years,4.2 lbs,Vulnerable,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Setonix,brachyurus,Found in 1 country
Quoll,Dasyurus,Omnivore,Nocturnal+,3 years,7 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,,Found in 3 countries
