name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Macaque,Macaca,Omnivore,Diurnal+,18 years,30 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,,Found in 21 countries
Macaroni Penguin,Eudyptes chrysolophus,Carnivore,Diurnal+,12 years,6.4 lbs,Vulnerable,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,Found in 5 countries
Macaw,Psittacidae (New World and African parrots),Omnivore,Diurnal+,30 years,1.7 lbs,Not Evaluated,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,,Found in 18 countries
MacGillivray’s Warbler,Geothlypis tolmiei,Insectivore,Diurnal+,2 years,0.013 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,tolmiei,Found in 18 locations
Machaeroides,Machaeroides,Carnivore,Crepuscular+,10 years,60 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Oxyaenodonta,Oxyaenidae,Machaeroides,,Found in 1 country
Mackenzie Valley Wolf,Canis lupus occidentalis,Carnivore,Cathemeral+,7 years,79 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 5 states/provinces
Macrauchenia,Macrauchenia,Herbivore,Diurnal+,20 years,1200 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Litopterna,Macraucheniidae,Macrauchenia,,Found in 5 countries
Madagascar Hissing Cockroach,Gromphadorhina portentosa,Scavenger,Nocturnal+,2.5 years,0.012 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Gromphadorhina,Gromphadorhina portentosa,Found in 1 country
Madagascar Jacana,Actophilornis albinucha,Insectivore,Diurnal,0.24 lbs,,,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Actophilornis,Actophilornis albinucha,Found in 1 country
Madagascar Tree Boa,Sanzinia madagascariensis,Carnivore,Nocturnal+,12 years,3 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Boidae,Sanzinia,madagascariensis,Found in 1 country
Madora Moth,Madora,Herbivore,Nocturnal+,12 years,0.0018 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Madora,,Found in 21 countries
Magellanic Penguin,Spheniscus magellanicus,Piscivore,Diurnal+,15 years,6.4 lbs,Near Threatened,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,Found in 3 countries
Maggot,Diptera,Detritivore,Cathemeral+,14 years,0.002 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Diptera,,,,
Magnolia Warbler,Setophaga magnolia,Insectivore,Diurnal+,2 years,0.0116 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,magnolia,Found in 44 locations
Magpie,Pica pica,Omnivore,Diurnal+,3 years,0.27 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,Pica pica,Found in 48 countries
Magyarosaurus,Magyarosaurus,Herbivore,Cathemeral+,2000 lbs,,,Animalia,Chordata,Reptilia,Saurischia,Saltasauridae,Magyarosaurus,,Found in 1 country
Mahi Mahi (Dolphin Fish),Coryphaena hippurus,Piscivore,Diurnal+,4 years,39.6 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Carangiformes,Coryphaenidae,Coryphaena,hippurus,
Maiasaura,Maiasaura,Herbivore,Diurnal+,20 years,4000 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Ornithischia,Hadrosauridae,Maiasaura,,Found in 1 country
Maine Coon,Felis catus,Carnivore,Crepuscular+,13 years,10 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Found in 1 state/province
Mal Shi Dog Breed Guide: Maltese–Shih Tzu Mix,Canis lupus familiaris,Omnivore,Diurnal+,13 years,8 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
Malayan Civet,Viverra tangalunga,Omnivore,Nocturnal+,8 years,5 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverra,Viverra tangalunga,Found in 7 countries
Malayan Krait,Bungarus candidus,Carnivore,Nocturnal+,12 years,1.5 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Elapidae,Bungarus,candidus,Found in 7 countries
Malayan Tiger,Panthera tigris jacksoni,Carnivore,Crepuscular+,12 years,140 lbs,Endangered,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera tigris,Found in 2 countries
Malchi,Canis lupus familiaris,Omnivore,Diurnal+,13 years,6 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,
Mallard,Anas platyrhynchos,Omnivore,Diurnal+,3 years,1.58 lbs,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Found in 65 locations
Malteagle,Canis lupus familiaris,Omnivore,Diurnal+,4 years,13 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 state/province
Maltese,Canis lupus familiaris,Omnivore,Diurnal+,13.5 years,4 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Maltese Mix,Canis lupus familiaris,Omnivore,Diurnal+,13 years,10 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
