name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Pachycephalosaurus,Pachycephalosaurus,Omnivore,Diurnal+,20 years,500 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Ornithischia,Pachycephalosauridae,Pachycephalosaurus,,Found in 2 countries
Pacific Coast Tick,Dermacentor occidentalis,Sanguivore,Diurnal+,2 years,,,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor occidentalis,Found in 4 states/provinces
Pacific Sleeper Shark,Somniosus pacificus,Scavenger,Cathemeral+,60 years,500 lbs,Data Deficient,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,pacificus,Found in 9 locations
Pacific Spaghetti Eel,Moringua edwardsi,Carnivore,Nocturnal+,7 years,,,Animalia,Chordata,Actinopterygii,Anguilliformes,Moringuidae,Moringua,Moringua edwardsi,Found in 2 locations
Paddlefish,Polyodontidae,,Cathemeral+,25 years,500 lbs,Critically Endangered,Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,,,Found in 2 countries
Pademelon,Thylogale,Herbivore,Crepuscular+,6.5 years,12 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Thylogale,,Found in 3 countries
Painted Bunting,Passerina ciris,Omnivore,Diurnal+,3 years,0.019 lbs,Near Threatened,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina ciris,Found in 23 locations
Painted Turtle,Chrysemys picta,Omnivore,Diurnal+,30 years,0.5 lbs,Least Concern,Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,Chrysemys picta,Found in 52 states/provinces
Palaeoloxodon namadicus,Palaeoloxodon namadicus,Herbivore,Cathemeral+,60 years,22000 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Palaeoloxodon,Palaeoloxodon namadicus,Found in 5 countries
Palaeophis,Palaeophis,Carnivore,Cathemeral+,300 lbs,,,Animalia,Chordata,Reptilia,Squamata,Palaeophiidae,Palaeophis,,Found in 13 countries
Paleoparadoxia,Paleoparadoxia,Herbivore,Cathemeral+,900 lbs,,,Animalia,Chordata,Mammalia,Desmostylia,Paleoparadoxiidae,Paleoparadoxia,,Found in 2 countries
Pallas’ Cat,Otocolobus manul,Carnivore,Crepuscular+,6 years,4.5 lbs,Near Threatened,Animalia,Chordata,Mammalia,Carnivora,Felidae,Otocolobus,Otocolobus manul,Found in 11 countries
Palm Rat,Rattus rattus,Omnivore,Nocturnal+,1 years,0.26 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,Found in 6 countries
Palo Verde Beetle,Derobrachus hovorei,Herbivore,Nocturnal+,3 years,,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei,Found in 4 states/provinces
Panda Pied Ball Python,Python regius,Carnivore,Nocturnal+,15 years,3 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,regius,
