name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Taco Terrier,Canis lupus familiaris,Omnivore,Diurnal+,5 years,5.5 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
Tailless Whip Scorpion,Amblypygi,Insectivore,Nocturnal+,5 years,0.03 lbs,Not Evaluated,Animalia,Arthropoda,Arachnida,Amblypygi,,,,Found in 64 countries
Taimen Fish,Hucho taimen,Carnivore,Diurnal+,30 years,105 lbs,Vulnerable,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Hucho,Hucho taimen,Found in 4 countries
Taipan,Oxyuranus,Carnivore,Diurnal+,11 years,6 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Elapidae,Oxyuranus,,Found in 3 countries
Takin,Budorcas taxicolor,Herbivore,Diurnal+,13 years,450 lbs,Vulnerable,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas,Budorcas taxicolor,Found in 4 countries
Tamarin,Callitrichidae,Omnivore,Diurnal,10 years,0.7 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Primates,Callitrichidae,,,Found in 10 countries
Tamaskan,Canis lupus familiaris,Omnivore,Cathemeral+,14 years,40 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Tang,Acanthuridae,Omnivore,Diurnal+,15 years,12 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,,,Found in 54 countries
Tangerine Leopard Gecko,Eublepharis macularius,Insectivore,Crepuscular+,6 years,0.1 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Eublepharis,Eublepharis macularius,Found in 4 countries
Tapanuli Orangutan,Pongo tapanuliensis,Omnivore,Diurnal,40 years,90 lbs,Critically Endangered,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo tapanuliensis,Found in 1 country
Tapir,Tapiridae,Herbivore,Nocturnal+,22 years,350 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,,,Found in 25 countries
Tarantula,Theraphosidae,Carnivore,Nocturnal+,12 years,0.17 lbs,Not Evaluated,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,,,Found in 89 countries
Tarantula Hawk,Pepsis,Omnivore,Diurnal+,12 years,0.006 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Pepsis,,Found in 25 countries
Tarbosaurus,Tarbosaurus bataar,Carnivore,Cathemeral,25 years,6000 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Saurischia,Tyrannosauridae,Tarbosaurus,bataar,Found in 2 countries
Tarpon,Megalops,Piscivore,Cathemeral+,30 years,160 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,,Found in 56 countries
Tarsier,Tarsiidae,Insectivore,Nocturnal+,12 years,0.17 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Primates,Tarsiidae,,,Found in 4 countries
Tasmanian Devil,Sarcophilus harrisii,Scavenger,Nocturnal+,6 years,12 lbs,Endangered,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,Found in 1 country
Tasmanian Tiger,Thylacinus cynocephalus,Carnivore,Nocturnal+,6 years,30 lbs,Extinct,Animalia,Chordata,Mammalia,Dasyuromorphia,Thylacinidae,Thylacinus,Thylacinus cynocephalus,Found in 2 countries
Tasmanian Tiger Snake,Notechis scutatus,Carnivore,Diurnal+,10 years,3 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Elapidae,Notechis,Notechis scutatus,Found in 1 country
Tawny Frogmouth,Podargus strigoides,Insectivore,Nocturnal+,10 years,0.65 lbs,Least Concern,Animalia,Chordata,Aves,Podargiformes,Podargidae,Podargus,Podargus strigoides,Found in 1 country
Tawny Mining Bee,Andrena fulva,Nectarivore,Diurnal+,12 years,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,fulva,Found in 27 countries
Tawny Owl,Strix aluco,Carnivore,Nocturnal+,4 years,0.8 lbs,Least Concern,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,aluco,Found in 44 countries
Teacup Chihuahua,Canis lupus familiaris,Omnivore,Diurnal+,4 years,2 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Teacup Maltese,Canis lupus familiaris,Omnivore,Diurnal+,4 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 2 countries
Teacup Miniature Horse,Equus ferus caballus,Herbivore,Diurnal+,15 years,160 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,Found in 1 country
Teacup Poodle,Canis lupus familiaris,Omnivore,Diurnal+,5 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 2 countries
Teddy Bear Hamster,Mesocricetus auratus,Omnivore,Nocturnal+,1.5 years,0.2 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus,Found in 1 country
Teddy Guinea Pig,Cavia porcellus,Herbivore,Cathemeral+,6 years,1.4 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,porcellus,Found in 4 countries
