name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Saanen Goat,Capra hircus,Herbivore,Diurnal+,8 years,110 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Found in 1 country
Saarloos Wolfdog,Canis lupus familiaris,Omnivore,Crepuscular+,11 years,45 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 1 country
Saber-Toothed Tiger,Smilodon fatalis,Carnivore,Crepuscular+,8 years,280 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Smilodon,fatalis,Found in 8 locations
Sable,Martes zibellina,Omnivore,Cathemeral+,5 years,2.1 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,zibellina,Found in 4 countries
Sable Black German Shepherd,Canis lupus familiaris,Omnivore,Cathemeral+,4 years,40 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
Sable Ferret,Mustela putorius furo,Carnivore,Crepuscular+,1.5 years,2 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,putorius,Found in 3 countries
Sable German Shepherd,Canis lupus familiaris,Omnivore,Diurnal+,4 years,40 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Saddleback Caterpillar,Acharia stimulea,Folivore,Nocturnal+,12 years,,,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Acharia,Acharia stimulea,Found in 33 states/provinces
Saiga,Saiga tatarica,Herbivore,Crepuscular+,8 years,69 lbs,Near Threatened,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,tatarica,Found in 5 countries
Sailfish,Istiophorus,Piscivore,Diurnal+,8 years,100 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Istiophoriformes,Istiophoridae,Istiophorus,,
Saint Berdoodle,,Omnivore,Diurnal+,5 years,70 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Saint Bernard,Canis lupus familiaris,Omnivore,Diurnal+,4 years,90 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 2 countries
Saint Shepherd,Canis lupus familiaris,Omnivore,Diurnal+,10 years,82 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 1 state/province
Salamander,Caudata,Carnivore,Nocturnal+,10 years,50 lbs,Not Evaluated,Animalia,Chordata,Amphibia,Caudata,,,,Found in 65 countries
