name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Haast’s Eagle,Hieraaetus moorei,Carnivore,Diurnal,25 years,15 lbs,Extinct,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus moorei,Found in 1 country
Habu Snake,Protobothrops flavoviridis,Carnivore,Nocturnal+,9 years,2.5 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Viperidae,Protobothrops,Protobothrops flavoviridis,Found in 1 country
Haddock,Melanogrammus aeglefinus,Carnivore,Cathemeral,8 years,17 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,Found in 22 locations
Hagfish,Myxini,Scavenger,Nocturnal+,12 years,1.5 lbs,Not Evaluated,Animalia,Chordata,Myxini,,,,,Found in 21 countries
Haikouichthys,Haikouichthys ercaicunensis,,Cathemeral+,0.0005 lbs,,,Animalia,Chordata,Myxini,Myxiniformes,Haikouichthys,ercaicunensis,,Found in 1 country
Hainosaurus,Hainosaurus,Carnivore,Cathemeral+,20 years,12000 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Mosasauridae,Hainosaurus,,Found in 5 countries
Hairy Frogfish,Antennarius striatus,Carnivore,Cathemeral,5 years,,,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,Antennarius,Antennarius striatus,Found in 41 locations
Hairy Woodpecker,Dryobates villosus,Insectivore,Diurnal+,4 years,0.095 lbs,Least Concern,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,Dryobates villosus,Found in 92 locations
Hairy-footed Flower Bee,Anthophora plumipes,Nectarivore,Diurnal+,12 years,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora,plumipes,Found in 44 countries
Halibut,Hippoglossus,Piscivore,Crepuscular+,35 years,363 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,,Found in 9 countries
Hallucigenia,Hallucigenia,Omnivore,Cathemeral,0.001 lbs,,,Animalia,Arthropoda,†Lobopodia,Hallucigeniidae,Hallucigenia,,,Found in 2 countries
Hamburg Chicken,Gallus gallus domesticus,Omnivore,Diurnal+,4 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,Found in 2 countries
Hammerhead Shark,Sphyrnidae,Carnivore,Diurnal+,20 years,450 lbs,Endangered,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,,,Found in 35 countries
Hammerhead Worm,Bipalium,Carnivore,Nocturnal+,1.5 years,0.03 lbs,Not Evaluated,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Geoplanidae,Bipalium,,Found in 16 countries
Hammond’s flycatcher,Empidonax hammondii,Insectivore,Diurnal+,2 years,0.012 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax hammondii,Found in 22 locations
Hamster,Cricetidae,Omnivore,Nocturnal+,1.5 years,0.67 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,,,Found in 33 countries
Harbor Porpoise,Phocoena phocoena,Piscivore,Cathemeral+,12 years,90 lbs,Least Concern,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Found in 47 locations
Harbor Seal,Phoca vitulina,Carnivore,Cathemeral+,25 years,170 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,Found in 42 locations
Hardhead Catfish,Ariopsis felis,Omnivore,Crepuscular+,5 years,4.5 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Ariopsis,Ariopsis felis,Found in 17 locations
