name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Cabbage Moth,Mamestra brassicae,Herbivore,Nocturnal,3 years,,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra,Mamestra brassicae,Found in 47 countries
Cactus Moth,Cactoblastis cactorum,Herbivore,Nocturnal+,4 years,,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Cactoblastis,Cactoblastis cactorum,Found in 4 countries
Cactus Mouse,Peromyscus eremicus,Omnivore,Nocturnal+,1 years,0.03 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,Found in 7 locations
Cactus Wren,Campylorhynchus brunneicapillus,Insectivore,Diurnal+,2.5 years,0.047 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,Found in 18 states/provinces
Caecilian,Gymnophiona,Carnivore,Nocturnal+,8 years,1.5 lbs,Not Evaluated,Animalia,Chordata,Amphibia,Gymnophiona,,,,Found in 41 countries
Caiman,Alligatoridae (caimans: subfamily Caimaninae),Omnivore,Cathemeral+,30 years,500 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,,,Found in 23 countries
Caiman Lizard,Dracaena guianensis,Carnivore,Diurnal,10 years,4 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Teiidae,Dracaena,Dracaena guianensis,Found in 6 countries
Cairn Terrier,Canis lupus familiaris,Omnivore,Diurnal+,14 years,8 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
California Condor,Gymnogyps californianus,Scavenger,Diurnal+,55 years,10.9 lbs,Critically Endangered,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Gymnogyps,Gymnogyps californianus,Found in 7 locations
California Kingsnake,Lampropeltis californiae,Carnivore,Diurnal+,12 years,1.6 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis californiae,Found in 6 locations
California Tarantula,Aphonopelma eutylenum,Insectivore,Nocturnal+,15 years,,,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,eutylenum,Found in 2 states/provinces
Camel,Camelus,Herbivore,Diurnal+,25 years,1000 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,,Found in 2 countries
Camel Cricket,Rhaphidophoridae,Omnivore,Nocturnal+,1.5 years,0.003 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,,,Found in 42 countries
Camel Spider,Solifugae,Carnivore,Nocturnal+,1.5 years,0.03 lbs,Not Evaluated,Animalia,Arthropoda,Arachnida,Solifugae,,,,Found in 57 countries
Campine Chicken,Gallus gallus domesticus,Omnivore,Diurnal+,4 years,2.7 lbs,Not Evaluated,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,Found in 1 country
Canaan Dog,Canis lupus familiaris,Omnivore,Diurnal+,6 years,25 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Canada Lynx,Lynx canadensis,Carnivore,Crepuscular+,10 years,17 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx canadensis,Found in 27 states/provinces
Canada Warbler,Cardellina canadensis,Insectivore,Diurnal+,2 years,0.013 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,Cardellina canadensis,Found in 31 locations
Canadian Eskimo Dog,Canis lupus familiaris,Omnivore,Cathemeral+,4 years,40 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 3 states/provinces
Canadian Horse,Equus ferus caballus,Herbivore,Diurnal+,15 years,610 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,ferus,Found in 1 state/province
Cane Corso,Canis lupus familiaris,Omnivore,Diurnal+,5 years,54 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Cane Rat,Thryonomys,Herbivore,Nocturnal,4 years,10 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Thryonomyidae,Thryonomys,,Found in 22 countries
Cane Spider,Heteropoda venatoria,Insectivore,Nocturnal+,1.5 years,,,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,Found in 14 countries
Cantil,Agkistrodon bilineatus,Carnivore,Nocturnal+,10 years,2 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Agkistrodon bilineatus,Found in 6 countries
Canvasback,Aythya valisineria,Omnivore,Cathemeral+,5 years,1.59 lbs,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya valisineria,Found in 33 locations
Cape Lion,Panthera leo melanochaita,Carnivore,Cathemeral+,12 years,250 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,Found in 1 country
Capuchin,Cebidae,Omnivore,Diurnal+,20 years,6 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Primates,Cebidae,,,Found in 16 countries
Capybara,Hydrochoerus hydrochaeris,Herbivore,Cathemeral+,8 years,66 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Found in 12 countries
Caracal,Caracal caracal,Carnivore,Nocturnal+,10 years,19 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Felidae,Caracal,caracal,Found in 51 countries
Cardinal,Cardinalis cardinalis,Omnivore,Diurnal+,3 years,0.048 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis,Found in 45 locations
Caribbean Reef Shark,Carcharhinus perezi,Carnivore,Cathemeral+,20 years,70 lbs,Endangered,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus perezi,Found in 32 locations
Caribou,Rangifer tarandus,Herbivore,Cathemeral+,10 years,300 lbs,Vulnerable,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,Found in 18 locations
Carolina Dog,Canis lupus familiaris,Omnivore,Crepuscular+,5 years,20 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 8 states/provinces
Carolina Parakeet,Conuropsis carolinensis,Granivore,Diurnal+,15 years,0.28 lbs,Extinct,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Conuropsis,Conuropsis carolinensis,Found in 28 states/provinces
"Carp Facts, Types, and Why They’re Both Beloved and Reviled",Cyprinidae,Omnivore,Diurnal+,5 years,300 lbs,Vulnerable,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,,Found in 48 countries
Carpenter Ant,Camponotus,Omnivore,Nocturnal+,24 years,0.0003 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Found in 33 countries
Carpet Beetle,Dermestidae,Scavenger,Diurnal+,1 years,5.0E-5 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,,,
Carpet Python,Morelia spilota,Carnivore,Cathemeral,15 years,15 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Morelia,Morelia spilota,Found in 3 countries
Carpet Viper,Echis carinatus,Carnivore,Nocturnal+,8 years,0.25 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Viperidae,Echis,Echis carinatus,Found in 3 countries
Carrion Beetle,Silphidae,Scavenger,Nocturnal+,6 years,0.003 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,,,Found in 60 countries
Cascabel,Crotalus,Carnivore,Nocturnal+,12 years,10 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,,Found in 16 countries
Cashmere Goat,Capra hircus,Herbivore,Diurnal+,8 years,85 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Found in 4 countries
Cassowary,Casuarius,Omnivore,Diurnal+,18 years,70 lbs,Not Evaluated,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,,Found in 3 countries
Cat Breeds,,,,,,,,,,,,,,
Cat Snake,Boiga,Carnivore,Nocturnal+,9 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Colubridae,Boiga,,Found in 25 countries
Cat-Eyed Snake,Leptodeira,Carnivore,Nocturnal+,6 years,0.25 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Leptodeira,,Found in 21 countries
Cat-Faced Spider,Araneus gemmoides,Insectivore,Nocturnal+,1 years,,,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,Araneus gemmoides,Found in 31 states/provinces
Catahoula Bulldog,Canis lupus familiaris,Omnivore,Diurnal+,5 years,50 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 4 states/provinces
Catahoula Leopard Dog,Canis lupus familiaris,Omnivore,Diurnal+,12 years,43 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 state/province
