name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Ibex,Capra,Herbivore,Diurnal+,12 years,140 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,,Found in 34 countries
Ibis,Threskiornithidae,Omnivore,Diurnal+,15 years,4.2 lbs,Not Evaluated,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,,,Found in 77 countries
Ibizan Hound,Canis lupus familiaris,Omnivore,Diurnal+,12 years,30 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Icadyptes,Icadyptes,Piscivore,Diurnal+,18 years,70 lbs,Not Evaluated,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Icadyptes,,Found in 1 country
Icelandic Sheepdog,Canis lupus familiaris,Omnivore,Diurnal+,13 years,14 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Ichthyosaurus,Ichthyosaurus,Carnivore,Cathemeral+,15 years,250 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,,Found in 5 countries
Ichthyostega,Ichthyostega,Carnivore,Cathemeral+,60 lbs,,,Animalia,Chordata,Sarcopterygii,Ichthyostegalia,Ichthyostegidae,Ichthyostega,,Found in 1 country
Iguana,Iguanidae,Omnivore,Diurnal+,15 years,15 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Iguanidae,,,Found in 28 countries
Iguanodon,Iguanodon,Herbivore,Diurnal+,30 years,5000 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,,Found in 5 countries
IMG Boa Constrictor,Boa constrictor,Carnivore,Nocturnal+,20 years,30 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,Boa constrictor,Found in 12 countries
Immortal Jellyfish,Turritopsis dohrnii,Carnivore,Cathemeral,1.5 years,,,Animalia,Cnidaria,Hydrozoa,Anthomedusae,Oceaniidae,Turritopsis,Turritopsis dohrnii,Found in 9 countries
Impala,Aepyceros melampus,Herbivore,Diurnal+,12 years,76 lbs,Least Concern,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,Found in 13 countries
Imperial Moth,Eacles imperialis,Folivore,Nocturnal,10 years,,,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Eacles,Eacles imperialis,Found in 38 locations
Inchworm,Geometridae,Folivore,Diurnal+,12 years,0.003 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,,,Found in 32 countries
Indian Cobra,Naja naja,Carnivore,Diurnal+,12 years,6 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,Naja naja,Found in 6 countries
Indian Elephant,Elephas maximus indicus,Herbivore,Cathemeral+,48 years,5500 lbs,Endangered,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,maximus,Found in 4 countries
Indian Giant Squirrel,Ratufa indica,Omnivore,Diurnal+,7 years,2 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ratufa,Ratufa indica,Found in 1 country
Indian Palm Squirrel,Funambulus palmarum,Omnivore,Diurnal+,3 years,0.16 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funambulus,Funambulus palmarum,Found in 2 countries
Indian python,Python molurus molurus,Carnivore,Nocturnal+,15 years,80 lbs,Near Threatened,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python molurus,Found in 6 countries
Indian Rhinoceros,Rhinoceros unicornis,Herbivore,Cathemeral+,40 years,3200 lbs,Vulnerable,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Rhinoceros unicornis,Found in 2 countries
Indian Star Tortoise,Geochelone elegans,Herbivore,Diurnal+,35 years,7 lbs,Vulnerable,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,elegans,Found in 3 countries
Indianmeal Moth,Plodia interpunctella,Granivore,Nocturnal+,60 years,,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Plodia,Plodia interpunctella,Found in 5 countries
Indigo Snake,Drymarchon couperi,Carnivore,Diurnal+,12 years,4.5 lbs,Near Threatened,Animalia,Chordata,Reptilia,Squamata,Colubridae,Drymarchon,Drymarchon couperi,Found in 5 states/provinces
Indochinese Tiger,Panthera tigris corbetti,Carnivore,Nocturnal+,12 years,195 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera tigris,Found in 6 countries
Indri,Indri indri,Folivore,Diurnal+,16.5 years,9.5 lbs,Critically Endangered,Animalia,Chordata,Mammalia,Primates,Indriidae,Indri,indri,Found in 1 country
Inland Taipan,Oxyuranus microlepidotus,Carnivore,Diurnal+,10 years,3 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Elapidae,Oxyuranus,microlepidotus,Found in 1 country
Insect,Insecta,Diurnal+,Diurnal+,0.1 lbs,,,Animalia,Arthropoda,Insecta,,,,,
Insects,,,,,,,,,,,,,,
Io Moth,Automeris io,Folivore,Nocturnal+,10 years,,,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Automeris,Automeris io,Found in 44 locations
Irish Doodle,Canis lupus familiaris,Omnivore,Diurnal+,12.5 years,34 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
Irish Elk,Megaloceros giganteus,Herbivore,Crepuscular+,12 years,700 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Megaloceros,giganteus,Found in 21 countries
Irish Setter,Canis lupus familiaris,Omnivore,Diurnal+,13 years,34 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
Irish Terrier,Canis lupus familiaris,Omnivore,Diurnal+,14 years,13 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Irish Water Spaniel,Canis lupus familiaris,Omnivore,Diurnal+,4 years,30 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
Irish WolfHound,Canis lupus familiaris,Omnivore,Diurnal+,7 years,70 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Irukandji Jellyfish,Carukia barnesi,Carnivore,Diurnal+,6 years,,,Animalia,Cnidaria,Cubozoa,Carybdeida,Carukiidae,Carukia,barnesi,Found in 1 country
Italian Greyhound,Canis lupus familiaris,Omnivore,Diurnal+,14 years,5 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
Ivory-billed woodpecker,Campephilus principalis,Insectivore,Diurnal+,12 years,0.57 lbs,Critically Endangered,Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,Campephilus principalis,Found in 16 locations
Ivy Bee,Colletes hederae,Nectarivore,Diurnal,1.5 years,0.00012 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,Colletes,Colletes hederae,Found in 13 countries
