name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Gaboon Viper,Bitis gabonica,Carnivore,Nocturnal+,12 years,11 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,Bitis gabonica,Found in 17 countries
Gadwall,Mareca strepera,Omnivore,Cathemeral+,2.5 years,1.25 lbs,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,Mareca strepera,Found in 75 locations
Galapagos Penguin,Spheniscus mendiculus,Piscivore,Diurnal+,10 years,2.5 lbs,Endangered,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,Found in 1 country
Galapagos Shark,Carcharhinus galapagensis,Carnivore,Cathemeral+,20 years,195 lbs,Near Threatened,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,galapagensis,Found in 14 locations
Galapagos Tortoise,Chelonoidis niger,Herbivore,Diurnal+,100 years,417 lbs,Vulnerable,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis niger,Found in 1 country
Gar,Lepisosteidae,Piscivore,Cathemeral+,30 years,137 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,,,Found in 9 countries
Garden Eel,Congridae,Carnivore,Diurnal,15 years,0.6 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,,,Found in 15 countries
Garden Spider,Argiope aurantia,Insectivore,Diurnal+,1 years,,,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope aurantia,Found in 64 locations
Gargoyle Gecko,Correlophus auriculatus,Insectivore,Nocturnal+,7.5 years,0.07 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Rhacodactylus,auriculatus,Found in 1 country
Garter Snake,Thamnophis,Carnivore,Diurnal+,4 years,0.6 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,,Found in 4 countries
Gastornis,Gastornis,Herbivore,Diurnal+,20 years,200 lbs,Not Evaluated,Animalia,Chordata,Aves,Gastornithiformes,Gastornithidae,Gastornis,,Found in 6 countries
Gazelle,Gazella,Herbivore,Diurnal+,10 years,50 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,,Found in 35 countries
