name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Yabby,Cherax destructor,Omnivore,Nocturnal+,4 years,0.2 lbs,Least Concern,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Cherax,Cherax destructor,Found in 2 countries
Yak,Bos grunniens,Herbivore,Diurnal+,15 years,1000 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos grunniens,Found in 1 country
Yakutian Laika,Canis lupus familiaris,Omnivore,Cathemeral+,11 years,27 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Yarara,Bothrops (genus),Carnivore,Nocturnal+,12 years,6 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,,Found in 23 countries
Yellow Anaconda,Eunectes notaeus,Carnivore,Cathemeral+,15 years,55 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Boidae,Eunectes,Eunectes notaeus,Found in 5 countries
Yellow Aphids,Aphididae,Herbivore,Cathemeral+,30 years,1.0E-5 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,Found in 20 countries
Yellow Bass,Morone mississippiensis,Carnivore,Diurnal+,5 years,0.7 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Moroniformes,Moronidae,Morone,mississippiensis,Found in 13 states/provinces
Yellow Belly Ball Python,Python regius,Carnivore,Nocturnal+,15 years,2.8 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,regius,Found in 2 countries
Yellow Bullhead: Adaptable American Catfish,Ameiurus natalis,Omnivore,Nocturnal+,6 years,2.9 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus natalis,Found in 38 states/provinces
Yellow Cobra,Naja nivea,Carnivore,Diurnal+,12 years,,,Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,nivea,Found in 4 countries
Yellow Crazy Ant,Anoplolepis gracilipes,Omnivore,Cathemeral,3 years,,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Found in 5 countries
Yellow Perch,Perca flavescens,Carnivore,Crepuscular+,6 years,1.9 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,Perca flavescens,Found in 35 states/provinces
Yellow Sac Spider,Cheiracanthium,Insectivore,Nocturnal+,1.5 years,0.0002 lbs,Not Evaluated,Animalia,Arthropoda,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,,Found in 19 countries
Yellow Spotted Lizard,Lepidophyma flavimaculatum,Insectivore,Nocturnal+,10 years,,,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Lepidophyma,Lepidophyma flavimaculatum,Found in 11 locations
Yellow Tanager (Black-and-Yellow Tanager),,Omnivore,Diurnal,5 years,0.036 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chrysothlypis,Chrysothlypis chrysomelas,Found in 2 countries
Yellow Tang,Zebrasoma flavescens,Herbivore,Diurnal+,25 years,0.25 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Zebrasoma,flavescens,Found in 2 locations
Yellow-Bellied Sapsucker,Sphyrapicus varius,Omnivore,Diurnal+,0.055 lbs,,,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,Sphyrapicus varius,Found in 56 locations
Yellow-Bellied Sea Snake,Hydrophis platurus,Piscivore,Cathemeral,6 years,,,Animalia,Chordata,Reptilia,Squamata,Elapidae,Hydrophis,platurus,
Yellow-Eyed Penguin,Megadyptes antipodes,Piscivore,Diurnal+,8 years,8 lbs,Endangered,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,antipodes,Found in 1 country
Yellow-faced Bee,Hylaeus,Nectarivore,Diurnal+,12 years,6.0E-5 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,Hylaeus,,Found in 31 countries
Yellowfin Tuna,Thunnus albacares,Piscivore,Cathemeral+,7 years,200 lbs,Near Threatened,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus albacares,
Yellowhammer,Emberiza citrinella,Omnivore,Diurnal+,3 years,0.036 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,citrinella,Found in 36 countries
Yellowish Cuckoo Bumblebee (formerly Fernald’s Cuckoo Bumblebee),Bombus flavidus,Nectarivore,Diurnal+,10 years,0.00035 lbs,Least Concern,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,flavidus,Found in 18 locations
Yellowjacket (Yellow Jacket),Vespidae,Omnivore,Diurnal+,0.2 years,0.002 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,,,Found in 28 countries
Yellowtail Snapper,Ocyurus chrysurus,Carnivore,Diurnal,7 years,4.1 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Ocyurus,Ocyurus chrysurus,Found in 29 locations
Yellowthroat,Geothlypis trichas,Insectivore,Diurnal+,2 years,0.011 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,trichas,Found in 75 locations
Yeti Crab,Kiwa,Omnivore,Cathemeral,6 years,0.25 lbs,Not Evaluated,Animalia,Arthropoda,Malacostraca,Decapoda,Kiwaidae,Kiwa,,Found in 3 countries
