name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Jabiru,Jabiru mycteria,Carnivore,Diurnal+,20 years,9 lbs,Least Concern,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Jabiru,Jabiru mycteria,Found in 18 countries
Jacana,Jacanidae,Insectivore,Diurnal+,8 years,0.27 lbs,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,,,Found in 72 countries
Jack Crevalle,Caranx hippos,Carnivore,Diurnal+,10 years,32.7 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Carangiformes,Carangidae,Caranx,Caranx hippos,Found in 63 locations
Jack Russell,Canis lupus familiaris,Omnivore,Diurnal+,6 years,7.5 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Jack-Chi,Canis lupus familiaris,Omnivore,Diurnal+,5 years,8 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 state/province
Jackabee,Canis lupus familiaris,Omnivore,Diurnal+,5 years,16 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 4 countries
Jackal,Canidae,Omnivore,Nocturnal+,9 years,15 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Canidae,,,Found in 54 countries
Jackdaw,Coloeus monedula,Omnivore,Diurnal+,5 years,0.28 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Corvidae,Coloeus,monedula,Found in 61 countries
Jackrabbit,Lepus,Herbivore,Crepuscular+,3 years,7.5 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,,Found in 83 countries
Jackson’s Chameleon,Trioceros jacksonii,Insectivore,Diurnal,5 years,0.2 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Trioceros,Trioceros jacksonii,Found in 2 countries
Jagdterrier,Canis lupus familiaris,Omnivore,Diurnal+,6 years,90 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Jaguar,Panthera onca,Carnivore,Cathemeral+,12 years,158 lbs,Near Threatened,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera onca,Found in 28 locations
Jaguarundi Cat,Herpailurus yagouaroundi,Carnivore,Diurnal+,10 years,9.1 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,Found in 21 locations
Jamaican Boa,Chilabothrus subflavus,Carnivore,Nocturnal+,15 years,,,Animalia,Chordata,Reptilia,Squamata,Boidae,Chilabothrus,subflavus,Found in 1 country
Jamaican Iguana,Cyclura collei,Omnivore,Diurnal,30 years,6 lbs,Critically Endangered,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Cyclura,Cyclura collei,Found in 1 country
Japanese Bantam Chicken,Gallus gallus domesticus,Omnivore,Diurnal,5 years,0.8 lbs,Not Evaluated,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,Found in 1 country
Japanese Beetle,Popillia japonica,Herbivore,Diurnal,12 years,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Popillia,japonica,Found in 1 country
Japanese Chin,Canis lupus familiaris,Omnivore,Diurnal+,5 years,4.1 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Japanese Macaque,Macaca fuscata,Omnivore,Diurnal,20 years,14 lbs,Least Concern,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,fuscata,Found in 1 country
Japanese rat snake,Elaphe climacophora,Carnivore,Diurnal+,9 years,1.2 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Elaphe,climacophora,Found in 1 country
Japanese Spitz,Canis lupus familiaris,Omnivore,Diurnal+,3 years,10 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Japanese Squirrel,Sciurus lis,Omnivore,Diurnal,4 years,0.37 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,lis,Found in 1 country
