name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Dachsador,Canis lupus familiaris,Omnivore,Diurnal+,5 years,25 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 state/province
Dachshund,Canis lupus familiaris,Omnivore,Crepuscular+,14 years,14 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 1 country
Dachshund Mix,Canis lupus familiaris,Omnivore,Cathemeral+,4 years,14 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
Daeodon,Daeodon,Omnivore,Crepuscular+,12 years,1000 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Entelodontidae,Daeodon,,Found in 1 country
Dalmadoodle,Canis lupus familiaris,Omnivore,Diurnal+,4 years,30 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
Dalmador,Canis lupus familiaris,Omnivore,Diurnal+,11 years,36 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 state/province
Dalmatian,Canis lupus familiaris,Omnivore,Diurnal+,4 years,32 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Dalmatian Mix,Canis lupus familiaris,Omnivore,Diurnal+,5 years,32 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 1 country
Damselfish,Pomacentridae,Omnivore,Diurnal+,8 years,1.5 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Pomacentriformes,Pomacentridae,,,Found in 35 countries
Dandie Dinmont Terrier,Canis lupus familiaris,Omnivore,Diurnal+,13 years,11 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Daniff,Canis lupus familiaris,Omnivore,Diurnal+,12 years,100 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 4 countries
Danio,Danio,Omnivore,Diurnal+,3 years,0.05 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,,,Found in 10 countries
Danish Swedish Farmdog,Canis lupus familiaris,Omnivore,Diurnal+,4 years,12 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 2 countries
Dapple Dachshund,Canis lupus familiaris,Omnivore,Diurnal+,5 years,15 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Dark-Eyed Junco,Junco hyemalis,Omnivore,Diurnal,3 years,0.028 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis,Found in 64 locations
Darkling Beetle,Tenebrionidae,Omnivore,Nocturnal+,1.5 years,0.01 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,,Found in 81 countries
Darwin’s fox,Lycalopex fulvipes,Omnivore,Nocturnal+,5 years,4 lbs,Endangered,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex fulvipes,Found in 1 country
Darwin’s Frog,Rhinoderma darwinii,Insectivore,Diurnal+,5 years,,,Animalia,Chordata,Amphibia,Anura,Rhinodermatidae,Rhinoderma,darwinii,Found in 2 countries
Daug,Canis lupus familiaris,Omnivore,Diurnal+,13 years,11 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 state/province
De Brazza’s Monkey,Cercopithecus neglectus,Omnivore,Diurnal,18 years,7 lbs,Least Concern,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus neglectus,Found in 10 countries
De Kay’s Brown Snake,Storeria dekayi,Insectivore,Diurnal+,3 years,0.03 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Storeria,dekayi,Found in 38 states/provinces
Death Adder,Acanthophis antarcticus,Carnivore,Nocturnal+,10 years,1.5 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,Found in 1 country
Death’s Head Cockroach,Blaberus craniifer,Omnivore,Nocturnal+,1.1 years,0.008 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Blaberus,craniifer,Found in 13 locations
Deathwatch Beetle,Xestobium rufovillosum,Detritivore,Nocturnal+,4 years,,,Animalia,Arthropoda,Insecta,Coleoptera,Ptinidae,Xestobium,Xestobium rufovillosum,Found in 25 countries
Decorator Crab,Majidae,Omnivore,Nocturnal+,5 years,20 lbs,Not Evaluated,Animalia,Arthropoda,Malacostraca,Decapoda,Majoidae,,,Found in 32 countries
Deer,Cervidae,Herbivore,Crepuscular+,12 years,800 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,,,Found in 45 countries
Deer Head Chihuahua,Canis lupus familiaris,Omnivore,Diurnal+,5 years,3.6 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 state/province
Deer Mouse,Peromyscus maniculatus,Omnivore,Nocturnal+,1 years,0.024 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus,Found in 64 locations
Deer Tick,Ixodes scapularis,Sanguivore,Cathemeral,2 years,0.00025 lbs,Not Evaluated,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,Ixodes scapularis,Found in 40 states/provinces
Deinocheirus,Deinocheirus,Omnivore,Diurnal+,30 years,9000 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Saurischia,Deinocheiridae,Deinocheirus,,Found in 1 country
Deinosuchus,Deinosuchus,Carnivore,Cathemeral+,50 years,6000 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Crocodylia,Deinosuchidae,Deinosuchus,,Found in 2 countries
Desert Ghost Ball Python,Python regius,Carnivore,Crepuscular+,10 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,regius,
Desert Kingsnake,Lampropeltis splendida,Carnivore,Nocturnal+,10 years,0.9 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,splendida,Found in 6 states/provinces
Desert Locust,Schistocerca gregaria,Herbivore,Diurnal+,4 years,0.003 lbs,Least Concern,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,gregaria,Found in 34 countries
