name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Babirusa,Babyrousa,Omnivore,Diurnal+,11 years,105 lbs,Vulnerable,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,,Found in 1 country
Baboon,Papio,Omnivore,Diurnal+,25 years,50 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,,Found in 45 countries
Bactrian Camel,Camelus bactrianus,Herbivore,Diurnal+,20 years,1000 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus bactrianus,Found in 2 countries
Badger,Mustelidae,Omnivore,Nocturnal+,7 years,20 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,,,Found in 3 countries
Bagle – Basset Hound Mix,Canis lupus familiaris,Omnivore,Diurnal+,12 years,25 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,
Bagworm Moth,Psychidae,Herbivore,Nocturnal+,12 years,0.001 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Lepidoptera,Psychidae,,,Found in 31 countries
Bagworm Moth Caterpillar,Psychidae,Herbivore,Nocturnal+,12 years,0.0003 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Lepidoptera,Psychidae,,,Found in 32 countries
Baird’s Rat Snake,Pantherophis bairdi,Carnivore,Nocturnal+,9 years,1.1 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Pantherophis bairdi,Found in 3 states/provinces
Bald Eagle,Haliaeetus leucocephalus,Carnivore,Diurnal+,20 years,6.3 lbs,Least Concern,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Found in 64 locations
Baleen Whale,Mysticeti,,Cathemeral+,70 years,190000 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Cetacea,,,,
Balinese,Felis catus,Carnivore,Crepuscular+,4 years,5.8 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Found in 1 country
Balkan Lynx,Lynx lynx balcanicus,Carnivore,Crepuscular+,10 years,25 lbs,Critically Endangered,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx lynx,Found in 2 countries
Ball Python,Python regius,Carnivore,Nocturnal+,12 years,3.5 lbs,Near Threatened,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,Found in 15 countries
Bamboo Rat,Rhizomyinae,Herbivore,Nocturnal+,4 years,4 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,,,Found in 10 countries
Bamboo Shark,Hemiscylliidae,Carnivore,Nocturnal+,15 years,6 lbs,Not Evaluated,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Hemiscylliidae,,,Found in 17 countries
Bamboo Worms,Omphisa fuscidentalis,Herbivore,Nocturnal+,11.5 years,0.006 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Omphisa,fuscidentalis,Found in 7 countries
Banana Ball Python,Python regius,Carnivore,Crepuscular+,13 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,Found in 1 state/province
Banana Cinnamon Ball Python,Python regius,Carnivore,Nocturnal+,12 years,3 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,regius,
Banana Eel,Gymnothorax miliaris,Carnivore,Nocturnal+,,,,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,miliaris,Found in 21 locations
Banana Spider,Trichonephila clavipes,Insectivore,Diurnal+,10 years,,,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Trichonephila,clavipes,Found in 36 locations
Banded Krait,Bungarus fasciatus,Carnivore,Nocturnal+,10 years,,,Animalia,Chordata,Reptilia,Squamata,Elapidae,Bungarus,Bungarus fasciatus,Found in 13 countries
Banded Palm Civet,Hemigalus derbyanus,Insectivore,Nocturnal,3 lbs,,,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Hemigalus,Hemigalus derbyanus,Found in 6 countries
Banded Water Snake,Nerodia fasciata,Carnivore,Diurnal+,6 years,0.9 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia fasciata,Found in 11 states/provinces
Bandicoot,Peramelemorphia,Omnivore,Nocturnal+,3 years,2.7 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Peramelemorphia,,,,Found in 3 countries
Banjo Catfish,Aspredinidae,Carnivore,Nocturnal+,6 years,0.6 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Siluriformes,Aspredinidae,,,Found in 14 countries
Barb,Cyprinidae,Omnivore,Diurnal+,8 years,300 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,,Found in 41 countries
