name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Uakari,Cacajao,Omnivore,Diurnal,18 years,4.8 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Cacajao,,Found in 4 countries
Uaru Cichlid,Uaru amphiacanthoides,Omnivore,Diurnal,8 years,1.2 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Uaru,amphiacanthoides,Found in 3 countries
Uguisu,Horornis diphone,Insectivore,Diurnal+,3 years,0.018 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Horornis,diphone,Found in 5 countries
Uinta Ground Squirrel,Urocitellus armatus,Omnivore,Diurnal+,3 years,0.5 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,armatus,Found in 3 states/provinces
Uintatherium,Uintatherium,Herbivore,Diurnal+,30 years,2000 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Dinocerata,Uintatheriidae,Uintatherium,,Found in 1 country
Ulysses Butterfly,Papilio ulysses,Nectarivore,Diurnal,4 years,0.0015 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,ulysses,Found in 4 countries
Umbrellabird,Cephalopterus,Omnivore,Diurnal+,10 years,0.67 lbs,Vulnerable,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,,Found in 10 countries
Unau (Linnaeus’s Two-Toed Sloth),Choloepus didactylus,Omnivore,Nocturnal+,12 years,8.5 lbs,Least Concern,Animalia,Chordata,Mammalia,Pilosa,Choloepodidae,Choloepus,Choloepus didactylus,Found in 5 countries
Underwing Moth,Catocala,Herbivore,Nocturnal+,12 years,0.005 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,,Found in 16 countries
Upland Sandpiper,Bartramia longicauda,Insectivore,Diurnal+,3 years,0.21 lbs,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,Found in 26 locations
Ural owl,Strix uralensis,Carnivore,Nocturnal+,10 years,1.3 lbs,Least Concern,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,uralensis,Found in 30 countries
Urechis unicinctus (Penis Fish),Urechis unicinctus,,Cathemeral,3 years,,,Animalia,Annelida,Polychaeta,Echiuroidea,Urechidae,Urechis,unicinctus,Found in 4 countries
Urial,Ovis orientalis,Herbivore,Crepuscular+,10 years,90 lbs,Vulnerable,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,orientalis,Found in 6 countries
Uromastyx (Spiny-Tailed Lizard),Uromastyx,Omnivore,Diurnal+,15 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Agamidae,Uromastyx,,Found in 25 countries
Urutu Snake,Bothrops alternatus,Carnivore,Nocturnal+,12 years,3.5 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,Bothrops alternatus,Found in 5 countries
Utonagan,Canis lupus familiaris,Omnivore,Diurnal+,13 years,55 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
