name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
X-Ray Tetra,Pristella maxillaris,Omnivore,Diurnal+,3 years,0.0028 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Pristella,maxillaris,Found in 6 countries
Xeme (Sabine’s Gull),Xema sabini,Carnivore,Diurnal+,10 years,0.25 lbs,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Xema,sabini,Found in 22 locations
Xenacanthus,Xenacanthus,Carnivore,Nocturnal+,12 years,20 lbs,Not Evaluated,Animalia,Chordata,Chondrichthyes,Xenacanthiformes,Xenacanthidae,Xenacanthus,,
Xenoceratops,Xenoceratops foremostensis,Herbivore,Diurnal,18 years,3000 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Ornithischia,Ceratopsidae,Xenoceratops,foremostensis,Found in 1 state/province
Xenoposeidon,Xenoposeidon,Herbivore,Diurnal+,40 years,25000 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Saurischia,Xenoposeidon,,,Found in 1 country
Xenotarsosaurus,Xenotarsosaurus,Carnivore,Diurnal+,1100 lbs,,,Animalia,Chordata,Reptilia,Theropoda,Abelisauridae,Xenotarsosaurus,,Found in 1 country
Xerus,Xerus,Omnivore,Diurnal+,5 years,1 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus,,Found in 27 countries
Xiaosaurus,Xiaosaurus,Herbivore,Diurnal+,12 lbs,,,Animalia,Chordata,Reptilia,Ornithischia,Xiaosaurus,,,Found in 1 country
Xiaotingia,Xiaotingia zhengi,Carnivore,Cathemeral,6 years,1.5 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Theropoda,Anchiornithidae,Xiaotingia,zhengi,Found in 1 country
Xingu River Ray,Potamotrygon leopoldi,Carnivore,Crepuscular+,12 years,6 lbs,Data Deficient,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Potamotrygonidae,Potamotrygon,leopoldi,Found in 1 country
Xiongguanlong,Xiongguanlong baimoensis,Carnivore,Cathemeral,15 years,350 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Saurischia,Xiongguanlong,baimoensis,,Found in 1 country
Xiphactinus,Xiphactinus,Piscivore,Cathemeral+,800 lbs,,,Animalia,Chordata,Actinopterygii,Ichthyodectiformes,Ichthyodectidae,Xiphactinus,,Found in 2 countries
Xoloitzcuintli,Canis lupus familiaris,Omnivore,Diurnal+,5 years,25 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
