name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Oak Toad,Anaxyrus quercicus,Insectivore,Cathemeral+,2 years,0.008 lbs,Least Concern,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,quercicus,Found in 7 states/provinces
Oarfish,Regalecidae,Carnivore,Cathemeral+,15 years,270 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Lampriformes,Regalecidae,,,
Ocean Perch,Sebastes alutus,Carnivore,Cathemeral,99 years,2.2 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,alutus,Found in 5 locations
Ocean Pout,Zoarces americanus,Carnivore,Nocturnal+,7 years,3.5 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,Zoarces americanus,Found in 12 states/provinces
Ocean Whitefish,Caulolatilus princeps,Carnivore,Diurnal+,13 years,15 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus,Caulolatilus princeps,Found in 11 locations
Oceanic Whitetip Shark,Carcharhinus longimanus,Carnivore,Nocturnal+,15 years,170 lbs,Critically Endangered,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,longimanus,
Ocellated Turkey,Meleagris ocellata,Omnivore,Diurnal+,7 years,5 lbs,Near Threatened,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris ocellata,Found in 5 locations
Ocelot,Leopardus pardalis,Carnivore,Nocturnal+,9 years,15.5 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,Found in 30 locations
Octopus,Octopoda,Carnivore,Nocturnal+,1.5 years,75 lbs,Not Evaluated,Animalia,Mollusca,Cephalopoda,Octopoda,,,,Found in 33 countries
Oenpelli python,Simalia oenpelliensis,Carnivore,Nocturnal+,20 years,,,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Simalia,oenpelliensis,Found in 1 country
Oilfish,Ruvettus pretiosus,Piscivore,Nocturnal+,12 years,63 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Scombriformes,Gempylidae,Ruvettus,pretiosus,
Okapi,Okapia johnstoni,Herbivore,Diurnal+,17 years,350 lbs,Endangered,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Okapia,Okapia johnstoni,Found in 1 country
Old English Sheepdog,Canis lupus familiaris,Omnivore,Diurnal+,5 years,45 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Old House Borer,Hylotrupes bajulus,Detritivore,Crepuscular+,5 years,,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Hylotrupes,Hylotrupes bajulus,Found in 35 countries
Oleander Hawk Moth,Daphnis nerii,Nectarivore,Nocturnal+,0.6 years,,,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Daphnis,nerii,Found in 41 countries
