name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Fairy-Wren,Malurus,Insectivore,Diurnal+,5 years,0.014 lbs,Not Evaluated,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,,Found in 3 countries
Falcon,Falconidae,Omnivore,Diurnal+,12 years,2.1 lbs,Not Evaluated,Animalia,Chordata,Aves,Falconiformes,Falconidae,,,Found in 46 countries
Fallow deer,Dama dama,Herbivore,Crepuscular+,12 years,100 lbs,Least Concern,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,dama,Found in 1 country
False Cobra,Pseudoxenodon sinensis,Carnivore,Diurnal,8 years,0.5 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pseudoxenodon,Pseudoxenodon macrops,Found in 2 countries
False coral snake,Lampropeltis elapsoides,Carnivore,Nocturnal+,7 years,0.2 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis elapsoides,Found in 8 states/provinces
False Killer Whale,Pseudorca crassidens,Carnivore,Cathemeral,30 years,2000 lbs,Near Threatened,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Pseudorca,Pseudorca crassidens,
False Water Cobra,Hydrodynastes gigas,Carnivore,Diurnal+,10 years,3 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Hydrodynastes,Hydrodynastes gigas,Found in 4 countries
False Widow Spider,Steatoda nobilis,Insectivore,Nocturnal+,2 years,,,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,Steatoda nobilis,Found in 2 countries
Fancy Mouse,Mus musculus,Omnivore,Nocturnal+,0.5 years,0.06 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,musculus,Found in 1 country
Fangtooth,Anoplogaster cornuta,Carnivore,Cathemeral,6 years,,,Animalia,Chordata,Actinopterygii,Trachichthyiformes,Anoplogastridae,Anoplogaster,Anoplogaster cornuta,
Feather Star,Comatulida,,Nocturnal+,10 years,1 lbs,Not Evaluated,Animalia,Echinodermata,Crinoidea,Comatulida,,,,Found in 14 countries
Feist,Canis lupus familiaris,Omnivore,Diurnal+,11 years,14 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 12 states/provinces
Fennec Fox,Vulpes zerda,Omnivore,Nocturnal+,9 years,1.6 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,zerda,Found in 11 countries
Fer-de-lance Snake,Bothrops asper,Carnivore,Nocturnal+,10 years,6 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,Bothrops asper,Found in 17 locations
Ferret,Mustela putorius furo,Carnivore,Crepuscular+,8 years,2 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,Found in 2 countries
Ferruginous Hawk,Buteo regalis,Carnivore,Diurnal+,8 years,2.07 lbs,Least Concern,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,Found in 22 locations
Fiddler Crab,Uca,Omnivore,Diurnal+,2 years,0.03 lbs,Not Evaluated,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca,,Found in 60 countries
Field Cuckoo Bumblebee,Bombus campestris,Nectarivore,Diurnal+,270 years,0.00035 lbs,Least Concern,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,campestris,Found in 43 countries
Field Spaniel,Canis lupus familiaris,Omnivore,Diurnal+,13 years,25 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Fierce Snake,Oxyuranus microlepidotus,Carnivore,Diurnal+,10 years,2 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Elapidae,Oxyuranus,microlepidotus,Found in 1 country
Figeater Beetle,Cotinis mutabilis,Detritivore,Diurnal,12 years,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis,Found in 6 locations
Fila Brasileiro,Canis lupus familiaris,Omnivore,Diurnal+,4 years,60 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Fin Whale,Balaenoptera physalus,,Cathemeral,85 years,120000 lbs,Vulnerable,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,
Finch,Fringillidae,Omnivore,Diurnal+,3.5 years,0.08 lbs,Not Evaluated,Animalia,Chordata,Aves,Passeriformes,Fringillidae,,,Found in 72 countries
Finnish Lapphund,Canis lupus familiaris,Omnivore,Diurnal+,6 years,24 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 1 country
Finnish Spitz,Canis lupus familiaris,Omnivore,Diurnal+,13.5 years,16 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Fire Ball Python,Python regius,Carnivore,Crepuscular+,12 years,3 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,
Fire Eel,Mastacembelus erythrotaenia,Carnivore,Nocturnal+,10 years,,,Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus erythrotaenia,Found in 4 countries
Fire Salamander,Salamandra salamandra,Insectivore,Nocturnal+,12 years,0.08 lbs,Least Concern,Animalia,Chordata,Amphibia,Urodela,Salamandridae,Salamandra,Salamandra salamandra,Found in 26 countries
