name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Aardvark,Orycteropus afer,Myrmecophage,Nocturnal,15 years,82 lbs,Least Concern,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,Found in 39 countries
Aardwolf,Proteles cristata,Myrmecophage,Nocturnal+,10 years,10 lbs,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Found in 16 countries
Abyssinian,Felis catus,Carnivore,Crepuscular+,11 years,5.5 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,Found in 1 country
Abyssinian Guinea Pig,Cavia porcellus,Herbivore,Crepuscular+,6 years,1.2 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,Found in 4 countries
Acadian Flycatcher,Empidonax virescens,Insectivore,Diurnal+,3 years,0.014 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax virescens,Found in 40 locations
Achrioptera Manga,Achrioptera manga,Folivore,Nocturnal+,10 years,0.006 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Phasmatodea,Achriopteridae,Achrioptera,manga,Found in 1 country
Ackie Monitor,Varanus acanthurus,Carnivore,Diurnal+,7 years,0.9 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,acanthurus,Found in 1 country
Addax,Addax nasomaculatus,Herbivore,Cathemeral+,11 years,125 lbs,Critically Endangered,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,Found in 9 countries
Adélie Penguin,Pygoscelis adeliae,Carnivore,Diurnal+,12 years,6 lbs,Least Concern,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Found in 1 country
Admiral Butterfly,Vanessa atalanta,Nectarivore,Diurnal+,1 years,0.0006 lbs,Least Concern,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,Found in 67 locations
