name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Eagle,,Carnivore,Diurnal+,20 years,9 lbs,Not Evaluated,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,,Found in 42 countries
Eagle Ray,Myliobatidae,Carnivore,Diurnal+,18 years,230 lbs,Not Evaluated,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,,,Found in 33 countries
Eared Grebe,Podiceps nigricollis,Carnivore,Diurnal+,5 years,0.6 lbs,Least Concern,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,nigricollis,Found in 82 locations
Earless Monitor Lizard,Lanthanotus borneensis,Carnivore,Nocturnal+,10 years,0.15 lbs,Endangered,Animalia,Chordata,Reptilia,Squamata,Lanthanotidae,Lanthanotus,Lanthanotus borneensis,Found in 3 countries
Earthworm,Haplotaxida,Detritivore,Nocturnal+,2 years,0.5 lbs,Not Evaluated,Animalia,Annelida,Clitellata,Haplotaxida,,,,Found in 40 countries
Earwig,Dermaptera,Omnivore,Nocturnal+,9 years,0.005 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Dermaptera,,,,Found in 30 countries
East Siberian Laika,Canis lupus familiaris,Omnivore,Diurnal+,13 years,30 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Eastern Barred Bandicoot,Perameles gunnii,Insectivore,Nocturnal+,2 years,2 lbs,Near Threatened,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,Perameles gunnii,Found in 1 country
Eastern Bluebird,Sialia sialis,Insectivore,Diurnal+,8 years,0.034 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,sialis,Found in 44 locations
Eastern Box Turtle,Terrapene carolina carolina,Omnivore,Diurnal+,35 years,1 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,Terrapene carolina,Found in 22 states/provinces
Eastern Brown Snake,Pseudonaja textilis,Carnivore,Diurnal+,10 years,2.5 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,Found in 1 country
Eastern Chipmunk,Tamias striatus,Omnivore,Diurnal+,2 years,0.142 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,Found in 32 states/provinces
Eastern Coral Snake,Micrurus fulvius,Carnivore,Nocturnal+,7 years,0.5 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Elapidae,Micrurus,Micrurus fulvius,Found in 7 states/provinces
Eastern Cottontail,Sylvilagus floridanus,Herbivore,Crepuscular+,1.5 years,1.8 lbs,Least Concern,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,Found in 51 locations
Eastern Diamondback Rattlesnake,Crotalus adamanteus,Carnivore,Crepuscular+,12 years,6.8 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus adamanteus,Found in 7 states/provinces
