name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Nabarlek,Petrogale concinna,Herbivore,Nocturnal+,6 years,1.6 lbs,Least Concern,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Petrogale,concinna,Found in 1 country
Naegleria,Naegleria fowleri,Omnivore,Cathemeral,,,,Excavata,Percolozoa,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Naegleria,Naegleria fowleri,
Naked Mole Rat,Heterocephalus glaber,Herbivore,Cathemeral,6 years,0.08 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Heterocephalidae,Heterocephalus,Heterocephalus glaber,Found in 3 countries
Narwhal,Monodon monoceros,Carnivore,Cathemeral,30 years,1600 lbs,Near Threatened,Animalia,Chordata,Mammalia,Artiodactyla,Monodontidae,Monodon,monoceros,Found in 6 locations
Natterjack,Epidalea calamita,Insectivore,Nocturnal+,6 years,0.08 lbs,Least Concern,Animalia,Chordata,Amphibia,Anura,Bufonidae,Epidalea,calamita,Found in 11 countries
Nautilus,Nautilus,Scavenger,Nocturnal+,15 years,2.5 lbs,Not Evaluated,Animalia,Mollusca,Cephalopoda,Nautilida,Nautilidae,,,Found in 14 countries
Neanderthal,Homo neanderthalensis,Omnivore,Diurnal+,25 years,90 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,Found in 33 countries
Neapolitan Mastiff,Canis lupus familiaris,Omnivore,Diurnal+,4 years,70 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Nebelung,Felis catus,Carnivore,Crepuscular+,3 years,6 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Found in 1 country
Needlefish,Belonidae,Piscivore,Diurnal+,5 years,2.5 lbs,Not Evaluated,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,,,Found in 41 countries
Nelore Cattle,Bos taurus indicus,Herbivore,Diurnal+,12 years,1100 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Found in 1 country
Nematode,Nematoda,Omnivore,Cathemeral+,0.1 years,0.05 lbs,Not Evaluated,Animalia,Nematoda,,,,,,
Neon Tetra,Paracheirodon innesi,Omnivore,Diurnal+,3 years,0.0006 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Paracheirodon,Paracheirodon innesi,Found in 3 countries
Neptune Grouper,Cephalopholis igarashiensis,Carnivore,Diurnal+,18 years,,,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Cephalopholis,Cephalopholis igarashiensis,Found in 25 countries
Netherland Dwarf Rabbit,Oryctolagus cuniculus domesticus,Herbivore,Crepuscular+,10 years,1.13 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,Found in 1 country
New Hampshire Red Chicken,Gallus gallus domesticus,Omnivore,Diurnal+,4 years,3.9 lbs,Not Evaluated,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,Found in 1 state/province
