name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Kagu,Rhynochetos jubatus,Insectivore,Diurnal+,15 years,1.1 lbs,Endangered,Animalia,Chordata,Aves,Eurypygiformes,Rhynochetidae,Rhynochetos,Rhynochetos jubatus,Found in 1 country
Kai Ken,Canis lupus familiaris,Omnivore,Diurnal+,6 years,20 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Kakapo,Strigops habroptilus,Herbivore,Nocturnal+,70 years,4 lbs,Critically Endangered,Animalia,Chordata,Aves,Psittaciformes,Strigopidae,Strigops,Strigops habroptilus,Found in 1 country
Kaluga Sturgeon,Huso dauricus,Piscivore,Cathemeral+,50 years,1000 lbs,Critically Endangered,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,dauricus,Found in 2 countries
Kamehameha Butterfly,Vanessa tameamea,Herbivore,Diurnal+,21 years,,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa tameamea,Found in 1 state/province
Kangal Shepherd Dog,Canis lupus familiaris,Omnivore,Cathemeral+,4 years,65 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Kangaroo,Macropodidae,Herbivore,Crepuscular+,12 years,95 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,,,Found in 3 countries
Kangaroo Mouse,Microdipodops,Omnivore,Nocturnal+,2 years,0.02 lbs,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Microdipodops,,Found in 1 country
Kangaroo Rat,Dipodomys,Granivore,Nocturnal+,2 years,0.2 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,,Found in 3 countries
Katydid,Tettigoniidae,Omnivore,Nocturnal+,12 years,0.01 lbs,Not Evaluated,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,,Found in 37 countries
Kaua’i ‘Ō‘ō,Moho braccatus,Omnivore,Diurnal,,,,Animalia,Chordata,Aves,Passeriformes,Mohoidae,Moho,Moho braccatus,Found in 1 state/province
Kea,Nestor notabilis,Omnivore,Diurnal+,15 years,1 lbs,Endangered,Animalia,Chordata,Aves,Psittaciformes,Strigopidae,Nestor,Nestor notabilis,Found in 1 country
Keagle,Canis lupus familiaris,Omnivore,Diurnal+,12 years,16 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Keel-Billed Toucan,Ramphastos sulfuratus,Omnivore,Diurnal+,17 years,0.5 lbs,Least Concern,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,sulfuratus,Found in 15 locations
Keelback,Rhabdophis,Carnivore,Diurnal+,8 years,0.5 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Colubridae,Rhabdophis,,Found in 18 countries
Keeshond,Canis lupus familiaris,Omnivore,Diurnal+,13 years,22 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Found in 1 country
Kelp Greenling,Hexagrammos decagrammus,Carnivore,Diurnal+,6 years,2.2 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Found in 7 states/provinces
Kentucky Warbler,Geothlypis formosa,Insectivore,Diurnal+,2.5 years,0.016 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis formosa,Found in 38 locations
